-------------------------------
  Cluster: 	 Mophological.cluster.G4_0 
 -------------------------------
 Number of up-regulated genes:	 4165 
 Number of down-regulated genes:	 5074 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	  3399.1813	1.1208242	3.708457e-28	1.000946e-25
ENSG00000167588.12	   449.0463	0.8387156	1.814169e-25	2.614693e-23
ENSG00000198695.2	 46221.2290	0.7452411	6.680475e-40	4.958583e-36
ENSG00000140961.12	  1156.2770	0.7310333	8.052316e-37	1.992277e-33
ENSG00000171658.8	   246.6664	0.6888137	3.869379e-26	6.838206e-24
ENSG00000157150.4	  1537.3687	0.6777266	5.971881e-30	2.162258e-27
ENSG00000228613.1	   477.5411	0.6752332	5.661368e-26	9.601209e-24
ENSG00000181019.12	  5701.4246	0.6184223	6.759995e-31	2.867203e-28
ENSG00000186594.14	  3648.7558	0.6176434	4.080740e-43	6.057858e-39
ENSG00000198804.2	745027.7916	0.6149037	2.912603e-23	2.863417e-21
