-------------------------------
  Cluster: 	 Mophological.cluster.G4_7 
 -------------------------------
 Number of up-regulated genes:	 415 
 Number of down-regulated genes:	 816 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000105664.10	1391.8919	0.4017725	2.486009e-06	6.052822e-04
ENSG00000157765.11	6758.2151	0.3713977	5.081692e-06	1.033881e-03
ENSG00000185499.16	3724.5506	0.3554966	2.587801e-11	1.325671e-07
ENSG00000179869.14	1269.3869	0.2902676	6.631004e-06	1.176529e-03
ENSG00000125851.9	9002.5230	0.2781315	3.248934e-04	1.072293e-02
ENSG00000145569.5	 540.7937	0.2745736	1.547303e-08	1.767735e-05
ENSG00000105376.4	 305.6159	0.2688879	1.131808e-05	1.528146e-03
ENSG00000136155.16	 166.8485	0.2676123	1.272098e-06	4.198490e-04
ENSG00000160111.12	5562.6863	0.2595082	7.073581e-05	4.290226e-03
ENSG00000179593.15	 412.7597	0.2592927	1.753816e-04	7.175667e-03
