-------------------------------
  Cluster: 	 Mophological.cluster.G4_26 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	 638.7591	1.1057851	1.198813e-34	1.780716e-30
ENSG00000104879.4	 436.7079	0.7846995	8.811432e-16	4.362833e-12
ENSG00000092054.12	 409.5770	0.7347659	2.038320e-16	1.513861e-12
ENSG00000198125.12	 336.3723	0.4883626	1.237635e-08	1.442040e-05
ENSG00000115138.10	 479.8193	0.3836892	9.347063e-07	3.966894e-04
ENSG00000160111.12	5562.6863	0.3416759	1.134012e-07	7.323747e-05
ENSG00000145569.5	 540.7937	0.3224133	3.948279e-12	1.466193e-08
ENSG00000179869.14	1269.3869	0.3016342	1.948080e-06	6.430396e-04
ENSG00000187608.8	1030.4492	0.2996177	7.328956e-10	2.177286e-06
ENSG00000239474.6	 254.6392	0.2724387	4.085996e-08	3.371855e-05
