-------------------------------
  Cluster: 	 Mophological.cluster.G4_29 
 -------------------------------
 Number of up-regulated genes:	 2623 
 Number of down-regulated genes:	 2603 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000237973.1	3326.8490	0.8038792	3.278957e-19	1.623193e-15
ENSG00000167588.12	 449.0463	0.6231583	1.595877e-14	1.185019e-11
ENSG00000177575.12	2593.5002	0.6157649	2.396263e-18	8.896727e-15
ENSG00000155659.14	 979.6122	0.6103767	1.136220e-20	1.636816e-16
ENSG00000131095.12	 280.5604	0.5927500	6.155940e-18	1.523698e-14
ENSG00000110079.16	 327.9827	0.5493508	2.204318e-20	1.636816e-16
ENSG00000124491.15	3100.1676	0.5115476	5.527006e-17	9.120174e-14
ENSG00000188257.10	4807.2981	0.5081809	5.012591e-09	5.068675e-07
ENSG00000159189.11	1507.4741	0.4977905	2.001425e-16	2.702106e-13
ENSG00000132465.10	2944.6255	0.4864913	1.053817e-04	9.462050e-04
