-------------------------------
  Cluster: 	 Mophological.cluster.G4_24 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	 3399.1813	1.4014948	7.707133e-45	5.722547e-41
ENSG00000167588.12	  449.0463	1.1612236	8.071748e-51	1.198655e-46
ENSG00000166819.11	  689.7306	0.8088890	1.617928e-28	3.003280e-25
ENSG00000196136.17	 5230.6198	0.7061474	1.530397e-23	1.196126e-20
ENSG00000198695.2	46221.2290	0.6763626	4.726378e-31	1.754668e-27
ENSG00000157150.4	 1537.3687	0.6736877	1.694157e-29	5.031646e-26
ENSG00000171658.8	  246.6664	0.6513974	4.362569e-23	2.944734e-20
ENSG00000116690.12	  348.8556	0.6449304	1.178435e-18	2.430523e-16
ENSG00000155659.14	  979.6122	0.6262470	9.464128e-22	4.684743e-19
ENSG00000177575.12	 2593.5002	0.6188259	1.348842e-18	2.670708e-16
