-------------------------------
  Cluster: 	 Mophological.cluster.G4_6 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000109205.16	  242.0108	0.2324731	1.431720e-06	0.0009246331
ENSG00000088836.12	11531.6881	0.2285231	1.131653e-05	0.0026660308
ENSG00000183775.10	  296.4303	0.2248993	3.978981e-06	0.0015311774
ENSG00000122145.14	  798.6217	0.2245980	1.731392e-07	0.0004029685
ENSG00000141449.14	 1610.7067	0.2020798	3.377618e-09	0.0000167102
ENSG00000164199.16	 3207.9706	0.1970644	6.576225e-06	0.0019742954
ENSG00000137766.16	  221.2727	0.1955009	6.590305e-04	0.0245762089
ENSG00000140323.5	  959.8149	0.1888340	1.188360e-04	0.0094318936
ENSG00000261786.1	17338.0700	0.1818485	2.598499e-07	0.0004029685
ENSG00000184613.10	 1015.6700	0.1798304	5.669655e-06	0.0017937314
