-------------------------------
  Cluster: 	 Mophological.cluster.G4_9 
 -------------------------------
 Number of up-regulated genes:	 2077 
 Number of down-regulated genes:	 2332 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	 991.7101	1.2168353	5.570341e-35	8.266387e-31
ENSG00000104879.4	 613.4647	0.9467130	4.785773e-20	2.367362e-16
ENSG00000092054.12	 487.3689	0.6377058	1.567347e-11	1.292191e-08
ENSG00000105664.10	1391.8919	0.6149810	3.074408e-13	4.273588e-10
ENSG00000198125.12	 437.2766	0.5789825	3.248211e-10	1.460710e-07
ENSG00000229344.1	 329.0403	0.5536005	8.389180e-16	2.074924e-12
ENSG00000196296.13	 332.5694	0.5490160	9.836316e-30	7.298546e-26
ENSG00000239474.6	 287.3609	0.4928926	1.558171e-19	5.780815e-16
ENSG00000179593.15	 412.7597	0.4792920	1.080381e-12	1.233297e-09
ENSG00000173991.5	 371.9920	0.4440741	2.878103e-16	8.542209e-13
