-------------------------------
  Cluster: 	 Mophological.cluster.G4_14 
 -------------------------------
 Number of up-regulated genes:	 1672 
 Number of down-regulated genes:	 1936 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000229344.1	  329.0403	0.7397204	3.056010e-28	4.538786e-24
ENSG00000196188.10	  971.3139	0.4955357	1.056187e-15	3.921623e-12
ENSG00000092054.12	  487.3689	0.4749810	6.804269e-07	5.399018e-05
ENSG00000105664.10	 1391.8919	0.4669059	3.424515e-08	7.265842e-06
ENSG00000159251.6	  549.6296	0.4365975	4.025262e-08	7.866209e-06
ENSG00000099194.5	 3399.1813	0.4340949	2.538581e-05	6.905313e-04
ENSG00000104879.4	  613.4647	0.3984236	2.475010e-04	3.273272e-03
ENSG00000185499.16	 3724.5506	0.3833992	7.109352e-13	1.714056e-09
ENSG00000198734.10	  221.1299	0.3779741	2.797577e-10	1.598062e-07
ENSG00000168878.16	15117.1136	0.3771562	4.300402e-04	4.916826e-03
