-------------------------------
  Cluster: 	 Mophological.cluster.G4_10 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000105664.10	 1391.8919	0.4284114	6.002253e-07	1.674651e-05
ENSG00000231852.6	  171.4840	0.3851940	1.390376e-11	6.449171e-09
ENSG00000183775.10	  296.4303	0.3291199	5.310585e-12	3.031731e-09
ENSG00000257671.1	 1670.5051	0.2972229	1.708447e-12	1.267924e-09
ENSG00000035664.11	14095.2924	0.2731517	4.520833e-11	1.560529e-08
ENSG00000179869.14	 1269.3869	0.2650498	4.066490e-05	4.268664e-04
ENSG00000100033.16	  640.4695	0.2526077	1.091214e-07	4.791978e-06
ENSG00000138759.18	 6765.0892	0.2491778	2.163407e-10	5.000552e-08
ENSG00000137766.16	  221.2727	0.2461483	1.635131e-05	2.114973e-04
ENSG00000111262.5	  165.0806	0.2459901	2.651881e-05	3.032501e-04
