-------------------------------
  Cluster: 	 Mophological.cluster.G4_18 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	 3399.1813	1.1422401	1.454301e-31	3.789857e-29
ENSG00000198695.2	46221.2290	0.7899857	8.612156e-47	1.279250e-42
ENSG00000196136.17	 5230.6198	0.7549408	7.991997e-28	1.006043e-25
ENSG00000151012.13	  907.2836	0.7442038	2.137789e-27	2.442671e-25
ENSG00000167588.12	  449.0463	0.7437500	1.036639e-20	4.207170e-19
ENSG00000177575.12	 2593.5002	0.7290615	4.494820e-26	4.146960e-24
ENSG00000261578.1	  294.2183	0.7007078	3.484211e-40	5.750497e-37
ENSG00000140961.12	 1156.2770	0.6965916	8.517014e-34	3.329256e-31
ENSG00000171658.8	  246.6664	0.6877279	1.936670e-26	1.868007e-24
ENSG00000157150.4	 1537.3687	0.6554632	5.354946e-28	7.001416e-26
