-------------------------------
  Cluster: 	 Mophological.cluster.G4_13 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000125740.13	 4646.5302	0.9496860	4.205070e-21	4.877224e-19
ENSG00000188536.12	 5913.2190	0.8210466	2.971779e-19	2.173351e-17
ENSG00000159167.11	13244.1917	0.7904972	2.380447e-36	1.767006e-32
ENSG00000206172.8	  539.8052	0.7800596	2.777366e-15	8.132696e-14
ENSG00000179388.8	 1566.0016	0.7304713	3.337863e-20	3.017080e-18
ENSG00000244734.3	24456.0352	0.7210974	3.815039e-15	1.101908e-13
ENSG00000162772.16	 6438.8727	0.7150790	1.530500e-25	6.682884e-23
ENSG00000106366.8	10924.5440	0.7026408	1.592785e-20	1.565992e-18
ENSG00000164283.12	  259.1147	0.6581088	8.283371e-19	5.641052e-17
ENSG00000115138.10	  479.8193	0.6024458	6.629325e-15	1.829349e-13
