-------------------------------
  Cluster: 	 Mophological.cluster.G4_15 
 -------------------------------
 Number of up-regulated genes:	 2603 
 Number of down-regulated genes:	 2910 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000211893.3	 5075.001	3.475489	7.960086e-198	1.182391e-193
ENSG00000211895.4	24711.929	3.174669	1.805514e-112	2.438101e-109
ENSG00000211890.3	 3211.568	2.885462	4.635365e-134	3.442686e-130
ENSG00000211677.2	 3340.271	2.688798	2.433025e-113	3.614015e-110
ENSG00000211592.8	48636.833	2.543887	 3.883627e-82	 1.281942e-79
ENSG00000132465.10	 2944.625	2.449336	 1.244399e-96	 8.401956e-94
ENSG00000211675.2	 4628.370	2.396479	 5.846444e-79	 1.702806e-76
ENSG00000211896.7	53276.881	2.355105	 7.479568e-55	 9.495855e-53
ENSG00000211892.3	 4561.437	2.335322	 3.925897e-96	 2.535447e-93
ENSG00000211899.9	 2620.840	2.304663	8.740713e-108	9.987274e-105
