-------------------------------
  Cluster: 	 Mophological.cluster.G4_21 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000211890.3	 3211.5684	1.0043841	6.371489e-15	2.642210e-13
ENSG00000211895.4	24711.9287	0.8561489	8.351648e-11	1.275603e-09
ENSG00000198695.2	46221.2290	0.8185666	8.897296e-48	1.320893e-43
ENSG00000167588.12	  449.0463	0.7589107	6.952753e-21	1.134292e-18
ENSG00000177575.12	 2593.5002	0.7329072	5.236482e-26	3.380036e-23
ENSG00000211677.2	 3340.2707	0.6888066	9.401064e-08	6.885456e-07
ENSG00000132465.10	 2944.6255	0.6843303	5.077825e-08	3.957239e-07
ENSG00000155659.14	  979.6122	0.6606234	5.172101e-24	2.020658e-21
ENSG00000197406.7	  390.4534	0.6588879	6.889379e-22	1.401092e-19
ENSG00000157150.4	 1537.3687	0.6506241	4.584346e-27	4.253700e-24
