-------------------------------
  Cluster: 	 Mophological.cluster.G4_25 
 -------------------------------
 Number of up-regulated genes:	 4444 
 Number of down-regulated genes:	 3518 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000115138.10	  479.8193	0.9747640	3.889794e-41	5.776733e-37
ENSG00000211890.3	 3211.5684	0.9544649	8.921721e-14	4.584653e-12
ENSG00000211897.8	 6014.2915	0.9490730	1.069196e-12	3.872836e-11
ENSG00000211592.8	48636.8331	0.8637344	3.399826e-10	5.989420e-09
ENSG00000211677.2	 3340.2707	0.8094638	2.133872e-10	4.026700e-09
ENSG00000206172.8	  539.8052	0.7486210	5.055310e-14	2.822422e-12
ENSG00000211675.2	 4628.3703	0.7407669	3.799994e-08	3.612914e-07
ENSG00000211896.7	53276.8811	0.7297280	2.786646e-07	2.092238e-06
ENSG00000227039.6	  271.4397	0.7237276	3.318542e-25	1.642789e-21
ENSG00000188536.12	 5913.2190	0.6884745	1.031929e-13	5.142675e-12
