-------------------------------
  Cluster: 	 Mophological.cluster.G4_4 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	3399.1813	1.2463711	4.917643e-38	7.302701e-34
ENSG00000167588.12	 449.0463	0.9828849	1.300414e-37	9.655573e-34
ENSG00000166819.11	 689.7306	0.7776217	2.636543e-27	1.305089e-23
ENSG00000131095.12	 280.5604	0.6032615	6.949877e-19	1.720095e-15
ENSG00000237973.1	3326.8490	0.5468796	1.752855e-09	3.068931e-07
ENSG00000155659.14	 979.6122	0.5380278	4.325013e-16	6.422644e-13
ENSG00000198125.12	 437.2766	0.5282476	9.460742e-09	1.025489e-06
ENSG00000177575.12	2593.5002	0.4799678	1.928751e-11	9.239339e-09
ENSG00000144908.13	 380.3377	0.4779849	8.157851e-16	1.101310e-12
ENSG00000124491.15	3100.1676	0.4663053	4.875648e-14	4.525211e-11
