-------------------------------
  Cluster: 	 Mophological.cluster.G4_2 
 -------------------------------
 Number of up-regulated genes:	 3614 
 Number of down-regulated genes:	 4323 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	 3399.1813	0.8387387	1.406131e-16	2.174669e-14
ENSG00000151012.13	  907.2836	0.6849474	3.753447e-23	9.287905e-20
ENSG00000171658.8	  246.6664	0.6731132	3.569818e-25	1.766703e-21
ENSG00000140961.12	 1156.2770	0.6216624	2.388586e-26	3.546333e-22
ENSG00000125851.9	 9002.5230	0.5175963	7.839309e-12	2.558027e-10
ENSG00000108448.20	 1006.5943	0.5163916	1.006148e-25	7.469136e-22
ENSG00000196136.17	 5230.6198	0.5075690	1.285738e-12	5.362177e-11
ENSG00000198695.2	46221.2290	0.5072721	3.176554e-17	6.405102e-15
ENSG00000157150.4	 1537.3687	0.5001329	4.171805e-16	5.339551e-14
ENSG00000175426.10	  487.2270	0.4819515	2.194699e-09	3.291384e-08
