-------------------------------
  Cluster: 	 Mophological.cluster.G4_22 
 -------------------------------
 Number of up-regulated genes:	 222 
 Number of down-regulated genes:	 589 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000244734.3	24456.0352	0.3295917	4.582199e-04	0.0169632784
ENSG00000163661.3	  518.8156	0.3049311	6.112957e-06	0.0009863788
ENSG00000188536.12	 5913.2190	0.3028058	1.381469e-03	0.0335096445
ENSG00000105664.10	 1391.8919	0.2804614	1.221082e-03	0.0314158850
ENSG00000162772.16	 6438.8727	0.2669513	2.147038e-04	0.0105889618
ENSG00000115138.10	  479.8193	0.2645578	7.493549e-04	0.0231348073
ENSG00000106366.8	10924.5440	0.2632791	8.377998e-04	0.0244825540
ENSG00000160111.12	 5562.6863	0.2559006	9.260210e-05	0.0059509880
ENSG00000148926.9	 4132.3911	0.2450230	3.761821e-05	0.0032485370
ENSG00000187608.8	 1030.4492	0.2301331	4.200524e-06	0.0007893264
