-------------------------------
  Cluster: 	 Mophological.cluster.G4_3 
 -------------------------------
 Number of up-regulated genes:	 98 
 Number of down-regulated genes:	 249 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	991.7101	1.4235968	1.357320e-51	2.016163e-47
ENSG00000104879.4	613.4647	1.1698711	2.625654e-31	9.750366e-28
ENSG00000092054.12	487.3689	1.0824750	3.631353e-33	1.798004e-29
ENSG00000198125.12	437.2766	0.8765640	1.083326e-22	3.218346e-19
ENSG00000196296.13	332.5694	0.6200663	7.126223e-39	5.292646e-35
ENSG00000130595.17	394.3661	0.5284992	2.460873e-18	4.569225e-15
ENSG00000239474.6	287.3609	0.5275098	1.910900e-22	4.730751e-19
ENSG00000173991.5	371.9920	0.4590065	3.079138e-17	5.081947e-14
ENSG00000206172.8	539.8052	0.4193322	3.332459e-05	3.867214e-03
ENSG00000164879.6	265.9725	0.4095301	4.518516e-20	9.588292e-17
