-------------------------------
  Cluster: 	 Mophological.cluster.G4_16 
 -------------------------------
 Number of up-regulated genes:	 112 
 Number of down-regulated genes:	 178 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000145569.5	 540.7937	0.2478988	4.167281e-07	0.001358635
ENSG00000185499.16	3724.5506	0.2256793	4.018916e-05	0.014922236
ENSG00000116299.16	1290.6972	0.2191964	1.619616e-06	0.002411488
ENSG00000179869.14	1269.3869	0.2153386	9.116943e-04	0.049136959
ENSG00000137766.16	 221.2727	0.2141923	1.885889e-04	0.024274900
ENSG00000162552.14	 236.6429	0.2057028	1.672851e-04	0.022586533
ENSG00000183775.10	 296.4303	0.2000426	4.285681e-05	0.015013967
ENSG00000182870.12	1489.8823	0.1977506	1.030184e-06	0.002185757
ENSG00000134115.12	 596.6985	0.1935219	1.862188e-07	0.001246637
ENSG00000184613.10	1015.6700	0.1894212	1.623679e-06	0.002411488
