-------------------------------
  Cluster: 	 Mophological.cluster.G4_5 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000206172.8	  539.8052	1.1762381	4.214756e-37	3.129667e-33
ENSG00000188536.12	 5913.2190	1.1004660	7.805066e-37	3.863768e-33
ENSG00000244734.3	24456.0352	1.0285510	2.057696e-32	6.111769e-29
ENSG00000115138.10	  479.8193	0.9534536	5.665986e-38	8.414555e-34
ENSG00000173110.7	 1177.0042	0.9167426	9.544248e-23	1.090320e-19
ENSG00000169429.10	  300.8776	0.8884595	6.741930e-36	2.503110e-32
ENSG00000125740.13	 4646.5302	0.8287872	4.386641e-16	8.337892e-14
ENSG00000106366.8	10924.5440	0.7602489	6.834229e-24	9.226831e-21
ENSG00000162772.16	 6438.8727	0.6907346	1.936986e-23	2.397181e-20
ENSG00000172602.9	 1462.6741	0.6863937	7.574791e-25	1.406165e-21
