-------------------------------
  Cluster: 	 Mophological.cluster.G4_17 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000092054.12	 487.3689	0.4044039	2.395137e-05	8.272693e-03
ENSG00000145569.5	 540.7937	0.3059525	1.107480e-10	8.765798e-07
ENSG00000179869.14	1269.3869	0.3054079	1.699994e-06	1.578020e-03
ENSG00000164879.6	 265.9725	0.2744105	2.288374e-09	1.132898e-05
ENSG00000160111.12	5562.6863	0.2595695	7.109798e-05	1.555966e-02
ENSG00000151849.14	3912.7980	0.2140599	5.419079e-08	1.149774e-04
ENSG00000253771.5	 329.7533	0.2092009	3.742233e-06	2.526347e-03
ENSG00000114854.7	 403.9490	0.2059088	6.119675e-05	1.480619e-02
ENSG00000231852.6	 171.4840	0.2036252	5.113396e-04	4.469717e-02
ENSG00000182870.12	1489.8823	0.1988985	8.316475e-07	1.122875e-03
