-------------------------------
  Cluster: 	 Mophological.cluster.G4_20 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000173110.7	 1177.0042	1.5501817	3.821540e-68	5.671930e-64
ENSG00000204388.6	10207.9507	1.0862009	2.651378e-52	1.311725e-48
ENSG00000204389.9	10464.4829	1.0810684	3.700403e-52	1.373035e-48
ENSG00000115138.10	  479.8193	0.9923914	2.059919e-39	5.095554e-36
ENSG00000132002.7	10996.9360	0.9917746	3.431738e-56	2.546693e-52
ENSG00000125740.13	 4646.5302	0.8607050	4.232965e-17	2.650872e-15
ENSG00000188536.12	 5913.2190	0.7053012	3.304880e-14	1.030925e-12
ENSG00000179388.8	 1566.0016	0.6980049	3.580093e-18	2.841483e-16
ENSG00000164283.12	  259.1147	0.6879332	1.817763e-20	2.408861e-18
ENSG00000159167.11	13244.1917	0.6827908	3.816992e-26	1.716721e-23
