-------------------------------
  Cluster: 	 Mophological.cluster.G4_8 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000173110.7	 1177.0042	1.4383413	2.186938e-55	3.246291e-51
ENSG00000125740.13	 4646.5302	1.0728001	4.885758e-27	1.066532e-24
ENSG00000204388.6	10207.9507	1.0201673	9.928693e-46	3.684538e-42
ENSG00000204389.9	10464.4829	0.9743988	6.776062e-42	1.117598e-38
ENSG00000132002.7	10996.9360	0.8963549	1.592419e-44	4.727573e-41
ENSG00000188536.12	 5913.2190	0.7391537	1.238471e-15	2.994114e-14
ENSG00000115138.10	  479.8193	0.7386983	4.832993e-51	2.391365e-47
ENSG00000179388.8	 1566.0016	0.7292435	4.414978e-20	2.570037e-18
ENSG00000162772.16	 6438.8727	0.6696542	5.322419e-22	4.413742e-20
ENSG00000122877.15	 1600.0272	0.6641999	1.693630e-17	5.739781e-16
