-------------------------------
  Cluster: 	 Mophological.cluster.G4_12 
 -------------------------------
 Number of up-regulated genes:	 4100 
 Number of down-regulated genes:	 4127 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000173110.7	 1177.0042	1.3097192	5.748912e-46	4.267417e-42
ENSG00000125740.13	 4646.5302	1.1094419	1.267333e-28	1.175926e-25
ENSG00000115138.10	  479.8193	1.0724033	4.624626e-81	6.865720e-77
ENSG00000204389.9	10464.4829	0.9551152	7.246692e-40	2.639925e-36
ENSG00000204388.6	10207.9507	0.9524698	3.560398e-39	8.809611e-36
ENSG00000206172.8	  539.8052	0.9386137	8.675368e-23	2.575890e-20
ENSG00000188536.12	 5913.2190	0.9214735	9.165942e-25	4.335453e-22
ENSG00000132002.7	10996.9360	0.8639048	6.993834e-41	3.461015e-37
ENSG00000244734.3	24456.0352	0.8271837	2.950676e-20	4.212091e-18
ENSG00000179388.8	 1566.0016	0.7424962	1.769305e-20	2.653243e-18
