-------------------------------
  Cluster: 	 Mophological.cluster.G4_31 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000124491.15	  3100.1676	0.2957196	3.069835e-06	0.005064887
ENSG00000155966.13	   211.5264	0.2444038	1.669397e-05	0.008918558
ENSG00000198804.2	745027.7916	0.2087162	7.450267e-04	0.042049202
ENSG00000064886.13	   632.6773	0.2081049	1.692579e-04	0.026788912
ENSG00000260314.2	  1228.1912	0.1935505	1.543262e-05	0.008918558
ENSG00000019549.9	   867.4279	0.1713395	5.619947e-06	0.005625575
ENSG00000186594.14	  3648.7558	0.1701388	8.113583e-04	0.043656386
ENSG00000145569.5	   540.7937	0.1695405	6.203924e-04	0.040196427
ENSG00000169710.8	  9922.5745	0.1643909	1.583266e-04	0.026381742
ENSG00000277494.1	   611.5298	0.1622610	2.086751e-04	0.028711553
