-------------------------------
  Cluster: 	 Mophological.cluster.G4_27 
 -------------------------------
 Number of up-regulated genes:	 115 
 Number of down-regulated genes:	 231 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000159251.6	 549.6296	0.8672856	3.596422e-30	5.339247e-26
ENSG00000167588.12	 449.0463	0.6375576	6.957927e-15	2.582434e-11
ENSG00000171401.14	 403.0124	0.5833455	9.496129e-10	1.084458e-06
ENSG00000166819.11	 689.7306	0.5205893	5.202487e-12	8.581792e-09
ENSG00000099194.5	3399.1813	0.5147539	7.007533e-07	4.809665e-04
ENSG00000173991.5	 371.9920	0.4827672	2.629280e-22	1.951714e-18
ENSG00000130595.17	 394.3661	0.4403403	2.991870e-14	8.883460e-11
ENSG00000175084.11	6323.3605	0.3287527	2.376779e-07	2.205354e-04
ENSG00000068976.13	 810.9968	0.3044711	2.077986e-13	4.407111e-10
ENSG00000121769.7	 251.6011	0.3032537	2.259824e-10	3.049941e-07
