-------------------------------
  Cluster: 	 Mophological.cluster.G4_28 
 -------------------------------
 Number of up-regulated genes:	 3322 
 Number of down-regulated genes:	 2955 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000115138.10	  479.8193	0.8491570	1.530247e-29	2.272875e-25
ENSG00000143632.14	  991.7101	0.5915499	7.179332e-09	3.221590e-07
ENSG00000198125.12	  437.2766	0.5758439	1.254777e-10	1.515220e-08
ENSG00000188536.12	 5913.2190	0.5498519	4.387515e-09	2.186838e-07
ENSG00000130595.17	  394.3661	0.5401675	5.687988e-21	2.112092e-17
ENSG00000104879.4	  613.4647	0.5350192	3.187215e-07	6.295174e-06
ENSG00000073756.11	  714.7272	0.5307033	2.767060e-12	8.659503e-10
ENSG00000106483.11	 2501.9957	0.5253460	3.280568e-14	3.748175e-11
ENSG00000206172.8	  539.8052	0.5146953	3.499270e-07	6.749955e-06
ENSG00000244734.3	24456.0352	0.5140747	3.752967e-08	1.161309e-06
