-------------------------------
  Cluster: 	 Mophological.cluster.G4_1 
 -------------------------------
 Number of up-regulated genes:	 2266 
 Number of down-regulated genes:	 2547 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000237973.1	  3326.8490	0.7791711	9.872077e-19	1.466300e-14
ENSG00000159251.6	   549.6296	0.5511398	5.087336e-12	9.445275e-09
ENSG00000171401.14	   403.0124	0.4580048	1.948605e-06	5.742587e-05
ENSG00000211890.3	  3211.5684	0.4432626	5.619410e-04	3.995457e-03
ENSG00000177575.12	  2593.5002	0.4384779	9.119024e-10	2.200117e-07
ENSG00000198804.2	745027.7916	0.4303325	1.385650e-13	4.116213e-10
ENSG00000211899.9	  2620.8398	0.4080349	4.344788e-04	3.292507e-03
ENSG00000198695.2	 46221.2290	0.3988274	5.476800e-11	5.084181e-08
ENSG00000162894.11	   437.1137	0.3870295	7.700159e-08	5.895384e-06
ENSG00000155966.13	   211.5264	0.3798753	8.727023e-12	1.296225e-08
