-------------------------------
  Cluster: 	 Mophological.cluster.G4_19 
 -------------------------------
 Number of up-regulated genes:	 3709 
 Number of down-regulated genes:	 4113 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000099194.5	3399.1813	0.6992082	9.643968e-12	3.848773e-10
ENSG00000175426.10	 487.2270	0.6661926	3.150529e-17	9.354552e-15
ENSG00000151012.13	 907.2836	0.6448729	6.543707e-21	1.079421e-17
ENSG00000171658.8	 246.6664	0.6441736	5.151398e-23	1.911941e-19
ENSG00000140961.12	1156.2770	0.5750058	1.308487e-22	3.885158e-19
ENSG00000116690.12	 348.8556	0.5601294	1.661861e-14	1.827555e-12
ENSG00000196136.17	5230.6198	0.5367206	5.149148e-14	4.577500e-12
ENSG00000108846.15	4752.4194	0.5304744	5.512762e-18	2.273402e-15
ENSG00000151632.17	2081.9987	0.5294955	3.718283e-25	5.520163e-21
ENSG00000125851.9	9002.5230	0.5138174	1.187236e-11	4.507855e-10
