-------------------------------
  Cluster: 	 Mophological.cluster.G4_30 
 -------------------------------
 Number of up-regulated genes:	 2264 
 Number of down-regulated genes:	 1651 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000211895.4	24711.929	1.266407	4.342697e-23	6.200035e-21
ENSG00000211592.8	48636.833	1.243475	2.053602e-20	2.117492e-18
ENSG00000211677.2	 3340.271	1.215749	8.897532e-23	1.201005e-20
ENSG00000211893.3	 5075.001	1.213575	2.353349e-22	2.986541e-20
ENSG00000211896.7	53276.881	1.202831	4.433510e-18	3.677584e-16
ENSG00000211897.8	 6014.292	1.201024	2.606891e-20	2.615346e-18
ENSG00000211899.9	 2620.840	1.197219	7.372857e-27	1.541862e-24
ENSG00000211890.3	 3211.568	1.134214	3.173796e-20	3.162720e-18
ENSG00000211892.3	 4800.464	1.120836	4.312418e-21	4.850817e-19
ENSG00000211675.2	 4628.370	1.107771	4.372498e-17	3.121291e-15
