-------------------------------
  Cluster: 	 Mophological.cluster.G4_6 
 -------------------------------
 Number of up-regulated genes:	 136 
 Number of down-regulated genes:	 34 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	991.7101	1.1080389	7.648837e-32	3.786684e-28
ENSG00000104879.4	613.4647	0.9709339	2.304179e-22	4.277709e-19
ENSG00000198125.12	437.2766	0.7912032	1.805285e-19	2.979121e-16
ENSG00000092054.12	487.3689	0.6894584	7.540540e-14	7.466140e-11
ENSG00000196296.13	332.5694	0.6370455	3.073959e-47	4.565444e-43
ENSG00000173991.5	371.9920	0.6027717	3.082412e-33	2.288999e-29
ENSG00000130595.17	394.3661	0.5833360	8.607517e-24	1.826269e-20
ENSG00000239474.6	287.3609	0.5474203	1.084110e-25	3.220242e-22
ENSG00000166819.11	689.7306	0.4220361	9.369336e-09	6.050147e-06
ENSG00000167588.12	449.0463	0.4149182	2.403242e-07	1.151385e-04
