-------------------------------
  Cluster: 	 Mophological.cluster.G4_4 
 -------------------------------
 Number of up-regulated genes:	 89 
 Number of down-regulated genes:	 22 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000130595.17	  394.3661	0.6824965	4.913540e-32	7.293659e-28
ENSG00000211896.7	53276.8811	0.5189533	3.300426e-04	4.578647e-02
ENSG00000183091.19	 1066.1734	0.4158328	4.179888e-09	6.894028e-06
ENSG00000196218.12	  311.3694	0.3882127	2.702809e-19	1.003013e-15
ENSG00000177791.11	  261.6074	0.3757037	2.737940e-21	2.032099e-17
ENSG00000166819.11	  689.7306	0.3321743	2.868087e-06	1.773912e-03
ENSG00000102096.9	  954.4316	0.3286833	1.287397e-07	1.194382e-04
ENSG00000185482.7	  187.3962	0.3216667	2.058943e-20	1.018765e-16
ENSG00000188257.10	 4807.2981	0.3160335	2.938739e-04	4.241688e-02
ENSG00000068976.13	  810.9968	0.3091985	1.075761e-13	2.661434e-10
