-------------------------------
  Cluster: 	 Mophological.cluster.G4_8 
 -------------------------------
 Number of up-regulated genes:	 124 
 Number of down-regulated genes:	 27 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000173991.5	 371.9920	0.5675530	1.108076e-29	1.644829e-25
ENSG00000166819.11	 689.7306	0.4078007	7.996036e-09	7.912877e-06
ENSG00000167588.12	 449.0463	0.4045591	1.367544e-07	9.666584e-05
ENSG00000177791.11	 261.6074	0.3806770	2.961692e-22	1.465445e-18
ENSG00000183091.19	1066.1734	0.3796866	6.762857e-08	5.283571e-05
ENSG00000068976.13	 810.9968	0.3708881	5.056738e-19	1.876555e-15
ENSG00000196218.12	 311.3694	0.3644068	1.648066e-17	4.892780e-14
ENSG00000185482.7	 187.3962	0.3481103	3.152069e-24	2.339466e-20
ENSG00000018625.14	 966.3244	0.3292836	1.938034e-09	2.397348e-06
ENSG00000135447.16	 215.9317	0.3278995	2.271014e-12	4.213866e-09
