-------------------------------
  Cluster: 	 Mophological.cluster.G4_28 
 -------------------------------
 Number of up-regulated genes:	 135 
 Number of down-regulated genes:	 43 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	  991.7101	1.2074092	2.872976e-34	2.133615e-30
ENSG00000104879.4	  613.4647	0.8963533	3.573446e-18	1.061528e-14
ENSG00000211896.7	53276.8811	0.6100279	2.308535e-05	5.811639e-03
ENSG00000092054.12	  487.3689	0.5950083	3.673903e-10	3.897749e-07
ENSG00000211592.8	48636.8331	0.5763581	4.212775e-05	9.643619e-03
ENSG00000211675.2	 4628.3703	0.5577787	4.732280e-05	1.049083e-02
ENSG00000196296.13	  332.5694	0.5496067	1.827028e-34	2.133615e-30
ENSG00000239474.6	  287.3609	0.5348816	2.492809e-23	1.234190e-19
ENSG00000211677.2	 3340.2707	0.5296676	4.894598e-05	1.069110e-02
ENSG00000211895.4	24711.9287	0.5214825	1.018763e-04	1.592809e-02
