-------------------------------
  Cluster: 	 Mophological.cluster.G4_7 
 -------------------------------
 Number of up-regulated genes:	 137 
 Number of down-regulated genes:	 32 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000104879.4	613.4647	1.0043714	1.859990e-24	4.600686e-21
ENSG00000198125.12	437.2766	0.7840746	4.664423e-19	7.691633e-16
ENSG00000092054.12	487.3689	0.7448919	1.859108e-16	2.122386e-13
ENSG00000196296.13	332.5694	0.6602071	4.147914e-52	6.155919e-48
ENSG00000173991.5	371.9920	0.5910896	9.539708e-32	7.078940e-28
ENSG00000130595.17	394.3661	0.5881325	3.816355e-24	8.091218e-21
ENSG00000239474.6	287.3609	0.5653986	8.419624e-28	3.123891e-24
ENSG00000167588.12	449.0463	0.4636451	8.215557e-09	5.080295e-06
ENSG00000166819.11	689.7306	0.4499410	9.528930e-10	7.070942e-07
ENSG00000177791.11	261.6074	0.4329252	2.439973e-29	1.207055e-25
