-------------------------------
  Cluster: 	 Mophological.cluster.G4_1 
 -------------------------------
 Number of up-regulated genes:	 149 
 Number of down-regulated genes:	 33 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	991.7101	0.8307495	2.245760e-17	3.706253e-14
ENSG00000104879.4	613.4647	0.7655103	6.440580e-14	6.832996e-11
ENSG00000198125.12	437.2766	0.6914307	7.013077e-15	8.680437e-12
ENSG00000196296.13	332.5694	0.5986986	1.078378e-41	1.601715e-37
ENSG00000173991.5	371.9920	0.5743898	3.483872e-30	2.587298e-26
ENSG00000130595.17	394.3661	0.5629999	3.587230e-23	1.332028e-19
ENSG00000092054.12	487.3689	0.5452314	6.036680e-09	3.735950e-06
ENSG00000239474.6	287.3609	0.4820898	1.299409e-19	3.216686e-16
ENSG00000167588.12	449.0463	0.4702765	2.247562e-09	1.451436e-06
ENSG00000166819.11	689.7306	0.4630603	1.280555e-10	1.056671e-07
