-------------------------------
  Cluster: 	 Mophological.cluster.G4_17 
 -------------------------------
 Number of up-regulated genes:	 124 
 Number of down-regulated genes:	 31 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	 991.7101	1.1134852	1.127899e-35	8.376340e-32
ENSG00000104879.4	 613.4647	0.9468435	4.245199e-22	7.881743e-19
ENSG00000198125.12	 437.2766	0.7648204	2.226012e-18	2.755246e-15
ENSG00000092054.12	 487.3689	0.7138077	1.352451e-15	1.339197e-12
ENSG00000196296.13	 332.5694	0.6597394	6.180896e-54	9.180485e-50
ENSG00000130595.17	 394.3661	0.6150933	7.273995e-27	1.800677e-23
ENSG00000173991.5	 371.9920	0.6070991	6.667429e-34	3.301044e-30
ENSG00000239474.6	 287.3609	0.5558785	9.608578e-28	2.854324e-24
ENSG00000177791.11	 261.6074	0.4250292	1.515213e-28	5.626365e-25
ENSG00000183091.19	1066.1734	0.4124519	4.006201e-09	2.833528e-06
