-------------------------------
  Cluster: 	 Mophological.cluster.G4_14 
 -------------------------------
 Number of up-regulated genes:	 156 
 Number of down-regulated genes:	 35 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	991.7101	1.0520720	9.440390e-31	4.672993e-27
ENSG00000104879.4	613.4647	0.9574744	3.706373e-23	6.879955e-20
ENSG00000198125.12	437.2766	0.7924673	1.200842e-20	1.783250e-17
ENSG00000092054.12	487.3689	0.6634760	1.645788e-13	1.527497e-10
ENSG00000196296.13	332.5694	0.6354530	5.376554e-49	7.984182e-45
ENSG00000173991.5	371.9920	0.6028137	6.754790e-34	5.015432e-30
ENSG00000130595.17	394.3661	0.5763140	2.658658e-23	5.640153e-20
ENSG00000239474.6	287.3609	0.5469942	9.413480e-28	3.494755e-24
ENSG00000167588.12	449.0463	0.4743562	2.237005e-09	1.384147e-06
ENSG00000166819.11	689.7306	0.4632113	1.899497e-10	1.343216e-07
