-------------------------------
  Cluster: 	 Mophological.cluster.G4_18 
 -------------------------------
 Number of up-regulated genes:	 158 
 Number of down-regulated genes:	 37 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	991.7101	0.8155371	7.856464e-17	1.296666e-13
ENSG00000104879.4	613.4647	0.7682139	5.489355e-14	5.824205e-11
ENSG00000198125.12	437.2766	0.6777211	2.523031e-14	2.882853e-11
ENSG00000196296.13	332.5694	0.5899221	6.809501e-41	1.011483e-36
ENSG00000173991.5	371.9920	0.5659917	1.522475e-29	1.130742e-25
ENSG00000130595.17	394.3661	0.5416441	5.522216e-23	1.640540e-19
ENSG00000092054.12	487.3689	0.5293966	1.522783e-08	7.799799e-06
ENSG00000167588.12	449.0463	0.4937536	5.963425e-11	4.662143e-08
ENSG00000239474.6	287.3609	0.4915377	2.551553e-20	6.316795e-17
ENSG00000166819.11	689.7306	0.4731529	1.771319e-11	1.547716e-08
