-------------------------------
  Cluster: 	 Mophological.cluster.G4_25 
 -------------------------------
 Number of up-regulated genes:	 142 
 Number of down-regulated genes:	 35 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	 991.7101	1.0078192	3.413041e-26	1.689569e-22
ENSG00000104879.4	 613.4647	0.9160465	2.825093e-20	3.814133e-17
ENSG00000198125.12	 437.2766	0.8052155	8.962588e-21	1.478927e-17
ENSG00000092054.12	 487.3689	0.6804607	1.059175e-13	1.123557e-10
ENSG00000196296.13	 332.5694	0.6204196	2.175181e-44	3.230361e-40
ENSG00000173991.5	 371.9920	0.5857889	2.613712e-31	1.940812e-27
ENSG00000130595.17	 394.3661	0.5660035	1.485557e-22	3.151716e-19
ENSG00000239474.6	 287.3609	0.5380699	7.257186e-25	2.155529e-21
ENSG00000183091.19	1066.1734	0.4310626	5.942577e-10	4.412660e-07
ENSG00000166819.11	 689.7306	0.4155478	1.129948e-08	6.518221e-06
